episode,return,average_return,lines_cleared
585,-74.0,-97.37521367521367,0
586,-47.5,-97.2901023890785,1
587,-108.5,-97.309199318569,0
588,-95.0,-97.30527210884354,0
589,-63.5,-97.24787775891342,0
590,-79.0,-97.21694915254237,1
591,-100.0,-97.22165820642978,1
592,-71.5,-97.17820945945945,1
593,-73.0,-97.13743676222597,1
594,-89.5,-97.12457912457913,1
595,-65.0,-97.07058823529412,0
596,-113.0,-97.09731543624162,0
597,-80.0,-97.06867671691792,0
598,-108.5,-97.08779264214047,0
599,-70.0,-97.04257095158597,1
600,-40.0,-96.9475,1
601,-77.5,-96.91514143094842,1
602,-114.5,-96.94435215946844,0
603,-99.5,-96.9485903814262,0
604,-122.5,-96.9908940397351,1
605,-97.0,-96.99090909090908,1
606,-69.5,-96.94554455445545,0
607,-128.0,-96.99670510708403,0
608,-71.0,-96.95394736842105,0
609,-58.0,-96.88998357963875,1
610,-83.0,-96.8672131147541,0
611,-97.0,-96.86743044189852,1
612,-110.0,-96.88888888888889,0
613,-73.0,-96.84991843393148,2
614,-66.5,-96.80048859934854,0
615,-93.5,-96.79512195121951,0
616,-85.0,-96.77597402597402,1
617,-66.5,-96.72690437601297,0
618,-83.0,-96.7046925566343,0
619,-87.5,-96.68982229402262,0
620,-72.5,-96.65080645161291,0
621,-50.0,-96.5756843800322,0
622,-76.0,-96.54260450160771,1
623,-113.0,-96.56902086677367,0
624,-62.0,-96.5136217948718,0
625,-89.0,-96.5016,0
626,-53.0,-96.43210862619809,0
627,-86.5,-96.41626794258373,1
628,-94.0,-96.4124203821656,1
629,-67.0,-96.36565977742448,1
630,-88.0,-96.35238095238095,1
631,-36.5,-96.25752773375595,0
632,-98.5,-96.26107594936708,1
633,-71.5,-96.2219589257504,1
634,-64.0,-96.1711356466877,1
635,-41.0,-96.08425196850393,0
636,-128.0,-96.13443396226415,0
637,-95.0,-96.13265306122449,0
638,-89.5,-96.12225705329153,1
639,-89.0,-96.11111111111111,0
640,-86.5,-96.09609375,1
641,-72.5,-96.05928237129486,0
642,-44.0,-95.97819314641744,0
643,-43.0,-95.89580093312597,1
644,-114.5,-95.92468944099379,0
645,-77.0,-95.8953488372093,0
646,-104.5,-95.90866873065015,1
647,-62.0,-95.85625965996908,0
648,-89.0,-95.84567901234568,0
649,-75.5,-95.81432973805855,0
650,-63.5,-95.76461538461538,0
651,-125.5,-95.81029185867895,2
652,-41.0,-95.72622699386503,0
653,-54.5,-95.66309341500765,0
654,-113.0,-95.68960244648318,0
655,-113.0,-95.71603053435115,0
656,-93.5,-95.7126524390244,0
657,-72.5,-95.67732115677322,0
658,-82.5,-95.65729483282675,2
659,-65.0,-95.61077389984825,0
660,-60.5,-95.55757575757576,0
661,-93.5,-95.55446293494705,0
662,-104.5,-95.56797583081571,1
663,-104.0,-95.58069381598793,0
664,-67.0,-95.53765060240964,1
665,-56.0,-95.47819548872181,0
666,-42.5,-95.39864864864865,0
667,-80.0,-95.37556221889055,0
668,-83.5,-95.35778443113773,1
669,-60.5,-95.30568011958147,0
670,-87.5,-95.29402985074627,0
671,-71.5,-95.2585692995529,1
672,-86.5,-95.24553571428571,1
673,-66.5,-95.20282317979198,0
674,-97.0,-95.20548961424332,1
675,-67.0,-95.1637037037037,1
676,-79.0,-95.13979289940828,1
677,-84.5,-95.12407680945347,0
678,-75.0,-95.09439528023599,2
679,-50.5,-95.02871870397644,1
680,-82.0,-95.00955882352942,1
681,-129.5,-95.06020558002938,0
682,-133.0,-95.1158357771261,1
683,-57.5,-95.06076134699853,0
684,-106.0,-95.07675438596492,1
685,-164.5,-95.17810218978101,1
686,-127.0,-95.22448979591837,1
687,-71.5,-95.18995633187772,1
688,-62.0,-95.14171511627907,0
689,-66.5,-95.10014513788099,0
690,-63.5,-95.05434782608695,0
691,-50.0,-94.9891461649783,0
692,-95.0,-94.98916184971098,0
693,-48.5,-94.92207792207792,0
694,-65.5,-94.87968299711815,1
695,-98.5,-94.88489208633094,1
696,-102.5,-94.89583333333333,0
697,-58.0,-94.8428981348637,1
698,-100.0,-94.85028653295129,1
699,-106.0,-94.86623748211731,1
700,-80.5,-94.84571428571428,1
701,-136.0,-94.90442225392297,1
702,-71.0,-94.87037037037037,0
703,-69.5,-94.83428165007112,0
704,-108.5,-94.85369318181819,0
705,-116.0,-94.88368794326242,0
706,-59.0,-94.8328611898017,0
707,-136.0,-94.89108910891089,1
708,-63.5,-94.84675141242938,0
709,-72.5,-94.81523272214386,0
710,-66.5,-94.77535211267606,0
711,-68.5,-94.73839662447257,1
712,-71.0,-94.70505617977528,0
713,-89.5,-94.69775596072931,1
714,-133.0,-94.75140056022408,1
715,-105.5,-94.76643356643356,0
716,-87.5,-94.75628491620111,0
717,-66.5,-94.71687587168759,0
718,-100.0,-94.72423398328691,1
719,-95.0,-94.72461752433937,0
720,-68.0,-94.6875,0
